fullname,affiliation,affil_city,affil_country
PANAGIOTIS KORANTZOPOULOS,NA,NA,NA
TOUKO KAASALAINEN,Helsinki University Hospital,Helsinki,Finland
AGNES MAYR,Medizinische Universitat Innsbruck,Innsbruck,Austria
BYOUNG WOOK CHOI,Severance Hospital,Seoul,South Korea
JUN PU,Renji Hospital,Shanghai,China
HANG JIN,Seoul National University Bundang Hospital,Seongnam,South Korea
WENJIE YANG,NA,NA,NA
ANDREA BARISON,Gabriele Monasterio Foundation,Pisa,Italy
PABLO GARCÍA-PAVÍA,Universidad Francisco de Vitoria,Pozuelo de Alarcon,Spain
LUCA SABA,Azienda Ospedaliero Universitaria di Cagliari,Cagliari,Italy
MOUAZ H AL-MALLAH,NA,NA,NA
FRANCK THUNY,Hôpital Nord AP-HM,Marseille,France
DONG HYUN YANG,University of Ulsan College of Medicine,Seoul,South Korea
MINJIE LU,NA,NA,NA
TIAN QIU,NA,NA,NA
OLIVER WIEBEN,University of Wisconsin-Madison,Madison,United States
KATE HANNEMAN,University Health Network,Toronto,Canada
JAMES MOON,NA,NA,NA
PENG ZHOU,University of Chinese Academy of Sciences,Beijing,China
MICHAEL Y HENEIN,Umeå Universitet,Umea,Sweden
ALESSIA PEPE,NA,NA,NA
MIN-FU YANG,Beijing Chao-Yang Hospital, Capital Medical University,Beijing,China
ANTONELLA MELONI,NA,NA,NA
JANE W NEWBURGER,Harvard Medical School,Boston,United States
BARBARA ULM,NA,NA,NA
LEI SONG,University of Science and Technology of China,Hefei,China
DUDLEY J PENNELL,Royal Brompton Hospital,London,United Kingdom
VICENTE BODI,Universitat de València,Valencia,Spain
CHRISTOPHER M KRAMER,University of Virginia,Charlottesville,United States
ARSALAN TALIB HASHMI,NA,NA,NA
ALBERT DE ROOS,Leids Universitair Medisch Centrum,Leiden,Netherlands
ANDREW E ARAI,University of Utah School of Medicine,Salt Lake City,United States
ANDREW T YAN,NA,NA,NA
FRANCIS E MARCHLINSKI,NA,NA,NA
BARBARA BAUCE,Università degli Studi di Padova,Padua,Italy
RAYMOND J KIM,Duke University Medical Center,Durham,United States
GUNNAR K LUND,NA,NA,NA
ZHEN-LIN LI,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
JIM W CHEUNG,NA,NA,NA
RIK WILLEMS,NA,NA,NA
SEUNG-PYO LEE,Seoul National University Hospital,Seoul,South Korea
MICHEL HAÏSSAGUERRE,Hopital Haut-Lévêque C.H.U de Bordeaux,Pessac,France
JONAS LANZ,NA,NA,NA
JUKKA LEHTONEN,NA,NA,NA
MARK NICHOLLS,Swaffham,Norfolk,United Kingdom
KAORU DOHI,Mie University Graduate School of Medicine,Tsu,Japan
MARK C PETRIE,NA,NA,NA
SHREYAS S VASANAWALA,NA,NA,NA
MATTHIAS SCHMITT,Manchester University NHS Foundation Trust,Manchester,United Kingdom
IGNACIO FERREIRA-GONZÁLEZ,Hospital Universitari Vall d'Hebron,Barcelona,Spain
KAORU DOHI,NA,NA,NA
LAWRENCE D RINK,NA,NA,NA
VASSILIOS P VASSILIKOS,School of Medicine,Thessaloniki,Greece
KEUMHEE C CARRIERE,University of Alberta,Edmonton,Canada
MARK R HAZEBROEK,NA,NA,NA
IVO ROCA-LUQUE,NA,NA,NA
RICCARDO FALETTI,Università degli Studi di Torino,Turin,Italy
FRANK M BENGEL,Hannover Medical School,Hannover,Germany
MARTA SITGES,NA,NA,NA
TILMAN EMRICH,Deutsches Zentrum für Herz-Kreislauf-Forschung e. V.,Berlin,Germany
GIUSEPPE ROMANO,NA,NA,NA
SANJIV SHARMA,NA,NA,NA
RICHARD KOVACS,University of Birmingham,Birmingham,United Kingdom
JAMES C MOON,University College London,London,United Kingdom
JAMES A JENSEN,NA,NA,NA
MARIANNA FONTANA,NA,NA,NA
FILIPPO CREA,Università Cattolica del Sacro Cuore, Campus di Roma,Rome,Italy
THEANO PAPAVASSILIU,Universitätsklinikum Mannheim,Mannheim,Germany
DAVID GARCÍA-DORADO,NA,NA,NA
YUCHENG CHEN,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
JOSE LUIS ZAMORANO,Hospital Universitario Ramón y Cajal,Madrid,Spain
XIAOHAI MA,NA,NA,NA
FRANCISCO LEYVA,NA,NA,NA
YANG HOU,Peking University,Beijing,China
JONATHAN R LINDNER,NA,NA,NA
NAUSHEEN AKHTER,Northwestern University Feinberg School of Medicine,Chicago,United States
CLAUDIO TONDO,NA,NA,NA
RODERICK TUNG,Pritzker School of Medicine,Chicago,United States
YANG HOU,NA,NA,NA
KAN LIU,NA,NA,NA
JEANETTE SCHULZ-MENGER,Humboldt-Universität zu Berlin,Berlin,Germany
JIE TIAN,Chinese Academy of Sciences,Beijing,China
SUNG HO HWANG,NA,NA,NA
DOUGLAS L PACKER,Intermountain Heart Institute,Salt Lake City,United States
DANIEL JACOBY,Cytokinetics, Inc.,San Francisco,United States
ANVESHA SINGH,NA,NA,NA
REZA MOLLAZADEH,School of Medicine,Tehran,Iran
PER LAV MADSEN,Københavns Universitet,Copenhagen,Denmark
FLAVIO D'ASCENZI,NA,NA,NA
MARC A JUDSON,NA,NA,NA
ERCAN KARAARSLAN,NA,NA,NA
JAN BOGAERT,Université de Liège,Liege,Belgium
VALENTÍN FUSTER,Icahn School of Medicine at Mount Sinai,New York,United States
NAHID REZAEIAN,NA,NA,NA
MARC K HALUSHKA,Johns Hopkins University School of Medicine,Baltimore,United States
MARIA G TRIVIERI,NA,NA,NA
JAE K OH,NA,NA,NA
PIER GIORGIO MASCI,King's College London,London,United Kingdom
G SIANOS,School of Medicine,Thessaloniki,Greece
DIPAN J SHAH,NA,NA,NA
ULRIKA BIRGERSDOTTER GREEN,NA,NA,NA
LIMING XIA,Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China
A JACQUIER,AP-HM Assistance Publique - Hôpitaux de Marseille,Marseille,France
L SAMUEL WANN,NA,NA,NA
GIANLUCA PONTONE,IRCCS Centro Cardiologico Monzino,Milan,Italy
DAVID A MCNAMARA,NA,NA,NA
YINGKUN GUO,NA,NA,NA
GIANLUCA PONTONE,NA,NA,NA
FRANK BOGUN,University of Michigan Medical School,Ann Arbor,United States
FRANCISCO LEYVA,University Hospitals Birmingham NHS Foundation Trust,Birmingham,United Kingdom
TAE HOON KIM,NA,NA,NA
DOUGLAS L PACKER,NA,NA,NA
HAMID MOJIBIAN,Yale School of Medicine,New Haven,United States
MAURICE BEGHETTI,NA,NA,NA
BORJA IBANEZ,NA,NA,NA
KEZHENG WANG,Harbin Medical University,Harbin,China
MICHELE EMDIN,Sant'Anna Scuola Universitaria Superiore Pisa,Pisa,Italy
GIANFRANCO SINAGRA,NA,NA,NA
MEIYUN WANG,Henan Provincial People's Hospital,Zhengzhou,China
Y CHANDRASHEKHAR,University of Minnesota Twin Cities,Minneapolis,United States
MARTHA GROGAN,NA,NA,NA
GIANFRANCO SINAGRA,Università degli Studi di Trieste,Trieste,Italy
GÜNTER PILZ,Klinikum der Universität München,Munich,Germany
ROBERT MANKA,NA,NA,NA
FARZIN BEYGUI,NA,NA,NA
FABAO GAO,West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
MICHAEL K ATALAY,The Warren Alpert Medical School,Providence,United States
AGNES MAYR,NA,NA,NA
GREGG W STONE,Icahn School of Medicine at Mount Sinai,New York,United States
ALBERT HSIAO,Department of Radiology,La Jolla,United States
KHALED MANDOUR,Zagazig University, Faculty of Medicine,Zagazig,Egypt
BO LIANG,NA,NA,NA
NOBUHISA HAGIWARA,NA,NA,NA
BO XU,NA,NA,NA
GIUSEPPE MANCIA,Università degli Studi di Milano-Bicocca,Milan,Italy
GERRY P MCCANN,NA,NA,NA
TOMAS G NEILAN,NA,NA,NA
LIANG ZHONG,NA,NA,NA
SEUNG PYO LEE,Seoul National University Hospital,Seoul,South Korea
COLIN BERRY,University of Glasgow,Glasgow,United Kingdom
ROBERT J SIEGEL,NA,NA,NA
MARC R DWECK,Edinburgh Medical School,Edinburgh,United Kingdom
A JACQUIER,NA,NA,NA
ANTONI BAYÉS-GENÍS,NA,NA,NA
BAE YOUNG LEE,NA,NA,NA
JOSÉ F RODRÍGUEZ-PALOMARES,Hospital Universitari Vall d'Hebron,Barcelona,Spain
MATTEO CAMELI,NA,NA,NA
MICHEL NOUTSIAS,NA,NA,NA
CHRISTIAN TEMPLIN,Universitätsspital Zürich, Klinik für Kardiologie,Zurich,Switzerland
GIANLUCA DI BELLA,Università degli Studi di Messina,Messina,Italy
PAOLO MARINO,NA,NA,NA
BERNARD COSYNS,NA,NA,NA
HWAN SEOK YONG,NA,NA,NA
NATALIA A TRAYANOVA,Whiting School of Engineering,Baltimore,United States
ORLANDO P SIMONETTI,NA,NA,NA
FRANK BOGUN,NA,NA,NA
PRAFULLA KERKAR,Asian Heart Institute and Research Centre,Mumbai,India
RODRIGO SALGADO,NA,NA,NA
FILIPPO CREA,NA,NA,NA
KIM A CONNELLY,NA,NA,NA
HAJNALKA VAGO,Semmelweis Egyetem,Budapest,Hungary
VINCENT WV JADDOE,NA,NA,NA
SHI JOON YOO,NA,NA,NA
ARVIND NISHTALA,Marin Health Cardiovascular Medicine,Marin,United States
ARASH ARYA,Universitätsklinikum Halle und Medizinische Fakultät,Halle,Germany
PHANG BOON LIM,National Heart and Lung Institute,London,United Kingdom
ARTURO EVANGELISTA,Instituto de Salud Carlos III,Madrid,Spain
HUGH WATKINS,NA,NA,NA
MATTHIAS GUTBERLET,NA,NA,NA
TIM LEINER,Mayo Clinic,Rochester,United States
DAVID FIRMIN,National Heart and Lung Institute,London,United Kingdom
STEVEN A NIEDERER,NA,NA,NA
DAVID S FRANKEL,Hospital of the University of Pennsylvania,Philadelphia,United States
ARNO A W ROEST,Leids Universitair Medisch Centrum,Leiden,Netherlands
STEPHAN WINDECKER,NA,NA,NA
ITSURO MORISHIMA,NA,NA,NA
CHRISTOPHER A RINALDI,King's College London,London,United Kingdom
NADJIA KACHENOURA,Sorbonne Université,Paris,France
DEEPAK L BHATT,NA,NA,NA
HIROSHI HONDA,NA,NA,NA
MENG WEI,NA,NA,NA
MENGSU ZENG,Fudan University,Shanghai,China
THOMAS F LÜSCHER,UniversitatsSpital Zurich,Zurich,Switzerland
WILLIAM W O'NEILL,NA,NA,NA
NIELS VAN ROYEN,NA,NA,NA
DAVID A BLUEMKE,NA,NA,NA
MARCO FRANCONE,Humanitas University,Pieve Emanuele,Italy
MOHAMMED Y KHANJI,St Bartholomew's Hospital,London,United Kingdom
ANDRÉ LA GERCHE,Baker Heart and Diabetes Institute,Melbourne,Australia
JOS J M WESTENBERG,NA,NA,NA
RAYMOND CHING-CHEW WONG,NA,NA,NA
ROB J VAN DER GEEST,Leids Universitair Medisch Centrum,Leiden,Netherlands
ARTHUR A M WILDE,NA,NA,NA
GIOVANNI DONATO AQUARO,NA,NA,NA
CONNIE R BEZZINA,Amsterdam Cardiovascular Sciences,NA,NA
LONG JIANG ZHANG,NA,NA,NA
